iter	Logloss
0	0.6379010345
1	0.5894356126
2	0.5460916017
3	0.4960687989
4	0.4699729923
5	0.4412257759
6	0.419393647
7	0.3917421551
8	0.3719298409
9	0.3546478995
10	0.3341665819
11	0.3175356817
12	0.3060209671
13	0.2906065686
14	0.2781260311
15	0.269309924
16	0.262260295
17	0.2574617699
18	0.2526377308
19	0.2474612566
20	0.2407007935
21	0.2346474932
22	0.2301100686
23	0.2259168324
24	0.2200208836
25	0.2168625933
26	0.2128252307
27	0.2095741116
28	0.2045046579
29	0.2015763203
30	0.1992002663
31	0.1973733924
32	0.1951353193
33	0.1933053319
34	0.1916630552
35	0.1897171156
36	0.1880820464
37	0.1866469883
38	0.1856093311
39	0.1840255768
40	0.1831575205
41	0.18183077
42	0.180610166
43	0.1796041003
44	0.1783802102
45	0.1776981552
46	0.1769436547
47	0.1761982143
48	0.175351803
49	0.1739846938
50	0.1732022981
51	0.1726188801
52	0.1718020581
53	0.1711892709
54	0.1702204708
55	0.1694592674
56	0.168877298
57	0.1683195051
58	0.1680443224
59	0.1676145659
60	0.1668492057
61	0.1665390864
62	0.1658583747
63	0.1654027273
64	0.1644619811
65	0.1638093503
66	0.163419572
67	0.1630524404
68	0.1625306262
69	0.1619942417
70	0.1616089748
71	0.1611608737
72	0.1604683098
73	0.1601658407
74	0.15968883
75	0.1591670258
76	0.1585551046
77	0.1580576203
78	0.1571264122
79	0.1564816747
80	0.1560367165
81	0.1555735258
82	0.1552381808
83	0.1549728625
84	0.1546113388
85	0.1543154725
86	0.1539886789
87	0.1535595249
88	0.1532005039
89	0.1529290192
90	0.1525860641
91	0.1520112926
92	0.151595695
93	0.1513911258
94	0.1510943152
95	0.1509248442
96	0.1506540373
97	0.150385927
98	0.1500913834
99	0.1498122718
100	0.1496132447
101	0.1493999202
102	0.1492778339
103	0.1490075308
104	0.1488091274
105	0.1485819217
106	0.1482504285
107	0.1480504315
108	0.1478040923
109	0.1476367836
110	0.1473637726
111	0.1470907821
112	0.1468836171
113	0.1466522514
114	0.1465023862
115	0.1463081919
116	0.1461495151
117	0.1458611375
118	0.145621811
119	0.1455223494
120	0.1452470704
121	0.1450273649
122	0.1448281151
123	0.1445546939
124	0.1443714267
125	0.144239266
126	0.144086071
127	0.1438326852
128	0.1436084026
129	0.1434405358
130	0.1431715632
131	0.1430674303
132	0.142952854
133	0.142680078
134	0.1425286033
135	0.1423108685
136	0.14221893
137	0.1419818552
138	0.1417584075
139	0.141614035
140	0.1414310016
141	0.1413013317
142	0.1411276337
143	0.1408693261
144	0.1407065024
145	0.1405400158
146	0.14023449
147	0.1399974015
148	0.1399238101
149	0.1398447386
150	0.1396167292
151	0.1395232839
152	0.1393620608
153	0.1392299031
154	0.1390030882
155	0.1389111061
156	0.1387595388
157	0.1386250839
158	0.1384217405
159	0.1382869316
160	0.1380841772
161	0.138005127
162	0.1376891274
163	0.137573038
164	0.1374905943
165	0.1372321846
