iter	Passed	Remaining
0	5	5576
1	10	5431
2	16	5337
3	21	5342
4	27	5388
5	32	5314
6	37	5325
7	43	5347
8	48	5352
9	54	5409
10	60	5410
11	65	5419
12	71	5457
13	77	5456
14	82	5414
15	87	5379
16	92	5352
17	97	5338
18	102	5307
19	107	5264
20	112	5228
21	118	5253
22	123	5248
23	128	5227
24	133	5207
25	138	5198
26	143	5187
27	148	5168
28	153	5146
29	158	5124
30	162	5081
31	166	5047
32	170	5010
33	175	4972
34	179	4940
35	183	4903
36	187	4870
37	191	4842
38	195	4815
39	199	4786
40	203	4749
41	206	4713
42	210	4678
43	213	4644
44	217	4609
45	220	4578
46	224	4546
47	227	4520
48	231	4495
49	235	4466
50	238	4432
51	241	4404
52	244	4375
53	248	4347
54	251	4324
55	255	4306
56	258	4280
57	262	4263
58	265	4237
59	268	4211
60	272	4191
61	275	4172
62	278	4147
63	282	4129
64	285	4105
65	288	4087
66	292	4068
67	295	4047
68	299	4035
69	302	4016
70	305	4002
71	309	3983
72	312	3969
73	315	3951
74	319	3935
75	322	3925
76	326	3912
77	329	3896
78	332	3881
79	336	3869
80	339	3851
81	342	3837
82	346	3824
83	349	3810
84	352	3795
85	355	3778
86	358	3764
87	362	3761
88	366	3752
89	369	3737
90	373	3731
91	376	3719
92	379	3704
93	382	3690
94	386	3677
95	389	3666
96	393	3662
97	396	3653
98	400	3641
99	403	3632
100	406	3622
101	410	3611
102	413	3602
103	417	3593
104	420	3580
105	423	3572
106	426	3562
107	429	3550
108	433	3539
109	436	3529
110	439	3518
111	442	3507
112	445	3498
113	448	3487
114	452	3478
115	455	3468
116	458	3459
117	461	3449
118	464	3439
119	467	3431
120	471	3423
121	474	3414
122	477	3407
123	481	3398
124	484	3391
125	488	3385
126	491	3379
127	494	3371
128	497	3362
129	501	3353
130	504	3346
131	507	3338
132	510	3330
133	514	3323
134	517	3316
135	520	3309
136	524	3302
137	527	3293
138	530	3288
139	534	3280
140	537	3273
141	540	3267
142	543	3260
143	547	3254
144	550	3246
145	553	3240
146	557	3233
147	560	3227
148	563	3220
149	566	3212
150	570	3207
151	573	3199
152	576	3193
153	580	3187
154	583	3180
155	586	3173
156	589	3166
157	592	3160
158	596	3152
159	600	3151
160	603	3145
161	606	3139
162	610	3132
163	613	3126
164	616	3119
165	619	3114
166	623	3109
167	626	3103
168	629	3097
169	633	3091
170	636	3084
171	639	3079
172	643	3074
173	646	3069
174	649	3063
175	653	3057
176	656	3052
177	659	3046
